순서,점포명,주소,y,x,name,address,phone
1,동래미남점,부산 동래구 운천동 1246-36,35.20488807,129.0665729,부산,동래구,6234
2,신세계영등포제일점,서울 영등포구 영등포동4가 432-12,37.51718835,126.9055666,,,
3,광진군자점,서울 광진구 광나루로 355 광진 메디컬센터 1층,37.54837677,127.0693416,,,
4,대전탄방점,대전 서구 문정로 84,36.34644268,127.388571,,,
5,서울남부터미널점,"서울 서초구 효령로 292, 남부터미널 118호",37.48354553,127.01511,,,
6,영등포KT점,서울 영등포구 영중로 119,37.52674936,126.9050387,,,
7,노량진로점,서울 동작구 노량진로 8길 26,37.51257442,126.9367768,,,
8,대구신암점,대구 동구 신암남로 109,35.88068319,128.6275756,,,
9,해운대신라스테이점,부산 해운대구 해운대로570번길 46,35.15980495,129.1587254,,,
10,여의도SK점,서울 영등포구 국제금융로8길 31 SK증권빌딩,37.51974502,126.9280651,,,
11,수원시청점,경기 수원시 팔달구 권광로175번길 52,37.26420441,127.0294647,,,
12,R김해내동경보점,"경남 김해시 경원로73번길 15, 경보더숨시티 1층 121, 122호",35.23835365,128.868144,,,
13,G고잔주유소점,경기 안산시 단원구 적금로 114,37.31831588,126.8263027,,,
14,경성대생활누리관점,부산 남구 수영로 309,35.13848731,129.1001031,,,
