점포명,x,y
노브랜드 가평잣고을시장점,127.5152079,37.82971715
노브랜드 강남삼성점,127.0511078,37.51629386
노브랜드 강남세곡점,127.098433,37.46684465
노브랜드 강남역삼점,127.030953,37.4921449
노브랜드 강남터미널점,127.0068344,37.50643574
노브랜드 강남한티역점,127.0523705,37.49806958
노브랜드 강릉교동점,128.882315,37.77179136
노브랜드 강서마곡점,126.8236056,37.56267069
노브랜드 거제아주점,128.6854116,34.86755951
노브랜드 경동시장점,127.0391429,37.57903777
노브랜드 경산백천점,128.7419892,35.80348582
노브랜드 경산사동점,128.7553676,35.81207366
노브랜드 경산정평점,128.727464,35.83384965
노브랜드 경주용강점,129.2301921,35.88102505
노브랜드 고양SF점,126.8947781,37.64697712
노브랜드 고양도내점,126.8695183,37.62846891
노브랜드 고양마두점,126.7871258,37.65857222
노브랜드 고양정발산점,126.7736212,37.66993068
노브랜드 고양풍동점,126.7998393,37.6625815
노브랜드 고양행신점,126.8355288,37.61367376
노브랜드 고양행신중앙점,126.8346494,37.62323588
노브랜드 공주 신관동점,127.1400155,36.47693681
노브랜드 광명소하점,126.8817729,37.45607861
노브랜드 광명역점,126.8838498,37.42039461
노브랜드 광주초월점,127.2903165,37.38383671
노브랜드 광주태전점,127.2344383,37.3867716
노브랜드 구리갈매점,127.1183227,37.63381259
노브랜드 구리인창점,127.1399825,37.61131431
노브랜드 구미선산시장점,128.300921,36.23951857
노브랜드 구미송정점,128.3481002,36.11701777
노브랜드 구미진평점,128.432075,36.09335598
노브랜드 구미확장점,128.434031,36.15582041
노브랜드 군산미장점,126.7234976,35.96430026
노브랜드 군포당동TR점,126.9346494,37.34012234
노브랜드 군포산본역점,126.9325774,37.35719613
노브랜드 김천율곡점,128.1815044,36.12172475
노브랜드 김포운양점,126.6840442,37.6555684
노브랜드 김포장기점,126.6793731,37.64179099
노브랜드 김포풍무TR점,126.7309004,37.61253777
노브랜드 김포풍무점,126.7237618,37.60485361
노브랜드 김해진영점,128.7295845,35.31252188
노브랜드 나주빛가람점,126.7917344,35.02275784
노브랜드 남양주다산점,127.1525209,37.62302999
노브랜드 남양주도곡점,127.2257168,37.57793603
노브랜드 남양주별내점,127.1178793,37.70866532
노브랜드 남양주오남점,127.2088158,37.67903503
노브랜드 남양주진접점,127.1818373,37.71595931
노브랜드 남양주퇴계원점,127.144287,37.65665795
노브랜드 남양주평내점,127.2390072,37.65032063
노브랜드 남양주호평점,127.24823,37.65552133
노브랜드 남양주화도2점,127.273963,37.65448113
노브랜드 남양주화도점,127.3050141,37.64558848
노브랜드 노원상계점,127.0542355,37.67091156
노브랜드 노원중계점,127.0815891,37.64598592
노브랜드 논산내동점,127.0936858,36.19045895
노브랜드 당진어시장점,126.6296071,36.88993079
노브랜드 당진원당점,126.642628,36.90511047
노브랜드 대구매천점,128.5418993,35.90623019
노브랜드 대구봉무점,128.6397144,35.92119427
노브랜드 대구사수점,128.5103045,35.89862022
노브랜드 대구세천점,128.4768495,35.87403028
노브랜드 대구옥포점,128.4430359,35.78172499
노브랜드 대구월배시장점,128.5273978,35.81407427
노브랜드 대구유가점,128.4629008,35.69306331
노브랜드 대구율하점,128.6945762,35.86297128
노브랜드 대구학정점,128.5650441,35.95245578
노브랜드 대구현풍점,128.4527118,35.68884021
노브랜드 대전 중촌동점,127.4158372,36.33713252
노브랜드 대전가수원점,127.3531951,36.30664167
노브랜드 대전가오2점,127.4554787,36.30333717
노브랜드 대전갈마점,127.3687153,36.35087161
노브랜드 대전관저점,127.3385252,36.29673496
노브랜드 대전관평점,127.3917703,36.42584958
노브랜드 대전노은점,127.3206252,36.36750228
노브랜드 대전문지점,127.405518,36.39275218
노브랜드 대전산성시장점,127.3874229,36.30610011
노브랜드 대전용계점,127.3375511,36.3316503
노브랜드 대전유성온천점,127.3468872,36.35179219
노브랜드 대전죽동점,127.339151,36.36856588
노브랜드 대전탄방점,127.3899634,36.34610129
노브랜드 대전판암점,127.4600424,36.31698508
노브랜드 동대문두타몰점,127.0087751,37.56888494
노브랜드 동대문장안점,127.0617272,37.565949
노브랜드 동해남부시장점,129.1035481,37.48761131
노브랜드 마리오아울렛점,126.8850808,37.47844577
노브랜드 마산현동점,128.5525629,35.15167633
노브랜드 문경모전점,128.1896919,36.58585839
노브랜드 문경중앙시장점,128.1971571,36.5942207
노브랜드 보령동대점,126.6109443,36.34456738
노브랜드 부산다대점,128.979306,35.06290862
노브랜드 부산아웃렛점,129.2349662,35.32381098
노브랜드 부산아트몰링점,128.9664749,35.10675496
노브랜드 부천상2동점,126.7536213,37.50066288
노브랜드 부천상동역점,126.7520943,37.50756272
노브랜드 부천상동점,126.7421057,37.49417819
노브랜드 부천옥길SF점,126.8139134,37.4614757
노브랜드 부천중동점,126.7773123,37.49703183
노브랜드 삼척중앙시장점,129.1646219,37.44209967
노브랜드 서대문신촌점,126.9384455,37.55803934
노브랜드 서울서초G5점,127.0164023,37.495411
노브랜드 서울서초점,127.0252791,37.49813146
노브랜드 서초방배점,126.9962956,37.48407416
노브랜드 성남여수점,127.1365065,37.41625269
노브랜드 성남이매2점,127.1223395,37.3994858
노브랜드 세종나성점,127.2563759,36.48880538
노브랜드 세종대평시장점,127.2812136,36.46885879
노브랜드 세종소담점,127.3010965,36.4845628
노브랜드 세종아름점,127.2430111,36.51225637
노브랜드 세종조치원점,127.2921118,36.59105951
노브랜드 속초조양점,128.5812597,38.18992604
노브랜드 수원망포점,127.0634843,37.24358816
노브랜드 수원영통점,127.0742708,37.24932073
노브랜드 수원오목천점,126.9665272,37.24043129
노브랜드 수원천천점,126.9790388,37.29969663
노브랜드 수원호매실2점,126.964251,37.25946581
노브랜드 수원호매실3호점,126.9584262,37.26891359
노브랜드 수원호매실점,126.9412026,37.27333013
노브랜드 수원화서점,126.9852475,37.28946476
노브랜드 스타필드 하남점,127.2239403,37.54540412
노브랜드 시흥목감점,126.8480714,37.3745538
노브랜드 시흥아울렛점,126.7369853,37.3796756
노브랜드 시흥정왕점,126.7295744,37.36375438
노브랜드 아산둔포점,127.0525276,36.92674529
노브랜드 아산배방점,127.0719675,36.77406125
노브랜드 안동구시장점,128.7289986,36.56542798
노브랜드 안동옥동점,128.702218,36.56410095
노브랜드 안산고잔점,126.8278626,37.3096758
노브랜드 안산이동점,126.8499229,37.30619919
노브랜드 안성공도점,127.1765591,37.00348585
노브랜드 안성시장점,127.270263,37.00662571
노브랜드 안양평촌점,126.9749929,37.39448208
노브랜드 양산물금점,129.016466,35.32688125
노브랜드 양주광사점,127.0805302,37.7952925
노브랜드 양주덕정점,127.0646972,37.84113107
노브랜드 양주옥정점,127.094083,37.81948582
노브랜드 양주회정점,127.0531077,37.82878649
노브랜드 엔터식스한양대점,127.040105,37.55715433
노브랜드 여주한글시장점,127.634908,37.29739551
노브랜드 영등포양평점,126.8926706,37.53821419
노브랜드 영등포여의도점,126.9168952,37.52787086
노브랜드 영주가흥점,128.6049825,36.81769682
노브랜드 예천호명점,128.481135,36.5761321
노브랜드 오산갈곶동점,127.0682306,37.13171881
노브랜드 오산금암점,127.0512041,37.17474574
노브랜드 오산수청점,127.0655846,37.17085663
노브랜드 용인구갈점,127.1132543,37.27984688
노브랜드 용인동천점,127.0915713,37.33728383
노브랜드 용인보라점,127.1192528,37.25512805
노브랜드 용인삼가점,127.1742461,37.23888363
노브랜드 용인상현점,127.0746283,37.30049581
노브랜드 용인죽전점,127.1195875,37.33134834
노브랜드 용인청덕점,127.1481243,37.29127905
노브랜드 울산달동점,129.3315112,35.5387056
노브랜드 울산무거점,129.2614877,35.54697701
노브랜드 울산방어점,129.415681,35.48770336
노브랜드 울산범서점,129.2424268,35.57147304
노브랜드 울산성남점,129.320552,35.55313249
노브랜드 울산신천점,129.3482927,35.63272982
노브랜드 울산유곡점,129.2964272,35.56069536
노브랜드 원주단계점,127.927879,37.3523736
노브랜드 원주단구점,127.958338,37.32415604
노브랜드 원주무실점,127.9289599,37.33356975
노브랜드 원주반곡점,127.9874651,37.32729167
노브랜드 원주지정점,127.8753949,37.37433664
노브랜드 위례스타필드시티점,127.1484041,37.48013569
노브랜드 위례창곡점,127.142952,37.47169969
노브랜드 의왕포일점,126.9874255,37.39761564
노브랜드 의정부 호원점,127.0472987,37.72105332
노브랜드 의정부녹양점,127.0366013,37.76071365
노브랜드 의정부민락점,127.0909685,37.74023181
노브랜드 의정부신곡점,127.0794583,37.75078605
노브랜드 이천안흥점,127.4549491,37.28080329
노브랜드 익산부송점,126.9947221,35.95991935
노브랜드 인천 마전2점,126.6588557,37.6022292
노브랜드 인천 불로동점,126.6836374,37.61291112
노브랜드 인천가정점,126.6650102,37.52933927
노브랜드 인천논현역점,126.7235028,37.39929718
노브랜드 인천당하점,126.6753517,37.58812094
노브랜드 인천마전점,126.6683608,37.59744781
노브랜드 인천서창점,126.7516487,37.42326102
노브랜드 인천송도점,126.6473195,37.39740409
노브랜드 인천심곡점,126.6772389,37.54427977
노브랜드 인천원당점,126.6977602,37.59388514
노브랜드 인천원창점,126.6450455,37.51598483
노브랜드 인천장승백이시장점,126.7357351,37.44692236
