datetime,매출금액
2021-01-01,154
2021-01-02,156
2021-01-03,157
2021-01-04,155
2021-01-05,155
2021-01-06,155
2021-01-07,156
2021-01-08,156
2021-01-09,157
2021-01-10,158
2021-01-11,157
2021-01-12,156
2021-01-13,156
2021-01-14,156
2021-01-15,157
2021-01-16,158
2021-01-17,157
2021-01-18,157
2021-01-19,155
2021-01-20,157
2021-01-21,157
2021-01-22,156
2021-01-23,156
2021-01-24,157
2021-01-25,156
2021-01-26,157
2021-01-27,158
2021-01-28,156
2021-01-29,157
2021-01-30,157
2021-01-31,158
2021-02-01,156
2021-02-02,155
2021-02-03,156
2021-02-04,156
2021-02-05,156
2021-02-06,157
2021-02-07,157
2021-02-08,156
2021-02-09,155
2021-02-10,157
2021-02-11,154
2021-02-12,149
2021-02-13,153
2021-02-14,156
2021-02-15,156
2021-02-16,156
2021-02-17,155
2021-02-18,156
2021-02-19,156
2021-02-20,157
2021-02-21,156
2021-02-22,157
2021-02-23,156
2021-02-24,155
2021-02-25,154
2021-02-26,156
2021-02-27,156
2021-02-28,157
2021-03-01,154
2021-03-02,154
2021-03-03,153
2021-03-04,154
2021-03-05,156
2021-03-06,155
2021-03-07,156
2021-03-08,156
2021-03-09,157
2021-03-10,157
2021-03-11,158
2021-03-12,157
2021-03-13,158
2021-03-14,158
2021-03-15,158
2021-03-16,157
2021-03-17,157
2021-03-18,158
2021-03-19,158
2021-03-20,159
2021-03-21,160
2021-03-22,159
2021-03-23,159
2021-03-24,159
2021-03-25,160
2021-03-26,160
2021-03-27,161
2021-03-28,161
2021-03-29,161
2021-03-30,161
2021-03-31,162
2021-04-01,158
2021-04-02,161
2021-04-03,162
2021-04-04,161
2021-04-05,162
2021-04-06,162
2021-04-07,162
2021-04-08,162
2021-04-09,162
2021-04-10,162
2021-04-11,162
2021-04-12,162
2021-04-13,162
2021-04-14,162
2021-04-15,162
2021-04-16,162
2021-04-17,162
2021-04-18,162
2021-04-19,162
2021-04-20,162
2021-04-21,162
2021-04-22,161
2021-04-23,162
2021-04-24,163
2021-04-25,163
2021-04-26,163
2021-04-27,163
2021-04-28,163
2021-04-29,163
2021-04-30,163
2021-05-01,163
2021-05-02,162
2021-05-03,162
2021-05-04,162
2021-05-05,162
2021-05-06,162
2021-05-07,162
2021-05-08,163
2021-05-09,163
2021-05-10,163
2021-05-11,162
2021-05-12,162
2021-05-13,163
2021-05-14,163
2021-05-15,163
2021-05-16,160
2021-05-17,163
2021-05-18,164
2021-05-19,164
2021-05-20,164
2021-05-21,164
2021-05-22,165
2021-05-23,164
2021-05-24,165
2021-05-25,165
2021-05-26,165
2021-05-27,165
2021-05-28,165
2021-05-29,165
2021-05-30,165
2021-05-31,166
2021-06-01,166
2021-06-02,166
2021-06-03,166
2021-06-04,166
2021-06-05,166
2021-06-06,166
2021-06-07,166
2021-06-08,166
2021-06-09,166
2021-06-10,168
2021-06-11,166
2021-06-12,168
2021-06-13,167
2021-06-14,167
2021-06-15,167
2021-06-16,168
2021-06-17,168
2021-06-18,168
2021-06-19,168
2021-06-20,168
2021-06-21,167
2021-06-22,168
2021-06-23,169
2021-06-24,169
2021-06-25,169
2021-06-26,169
2021-06-27,168
2021-06-28,169
2021-06-29,168
2021-06-30,170
2021-07-01,170
2021-07-02,170
2021-07-03,170
2021-07-04,170
2021-07-05,172
2021-07-06,172
2021-07-07,172
2021-07-08,172
2021-07-09,172
2021-07-10,172
2021-07-11,172
2021-07-12,172
2021-07-13,172
2021-07-14,172
2021-07-15,172
2021-07-16,172
2021-07-17,172
2021-07-18,172
2021-07-19,172
2021-07-20,171
2021-07-21,172
2021-07-22,172
2021-07-23,172
2021-07-24,172
2021-07-25,172
2021-07-26,171
2021-07-27,171
2021-07-28,171
2021-07-29,172
2021-07-30,173
2021-07-31,173
2021-08-01,173
2021-08-02,173
2021-08-03,172
2021-08-04,173
2021-08-05,172
2021-08-06,173
2021-08-07,173
2021-08-08,170
2021-08-09,173
2021-08-10,173
2021-08-11,173
2021-08-12,173
2021-08-13,173
2021-08-14,174
2021-08-15,173
2021-08-16,174
2021-08-17,173
2021-08-18,173
2021-08-19,175
2021-08-20,175
2021-08-21,175
2021-08-22,172
2021-08-23,174
2021-08-24,173
2021-08-25,175
2021-08-26,175
2021-08-27,176
2021-08-28,176
2021-08-29,175
2021-08-30,176
2021-08-31,176
2021-09-01,176
2021-09-02,176
2021-09-03,176
2021-09-04,176
2021-09-05,174
2021-09-06,176
2021-09-07,175
2021-09-08,175
2021-09-09,175
2021-09-10,174
2021-09-11,174
2021-09-12,173
2021-09-13,174
2021-09-14,174
2021-09-15,173
2021-09-16,174
2021-09-17,175
2021-09-18,174
2021-09-19,174
2021-09-20,172
2021-09-21,166
2021-09-22,172
2021-09-23,174
2021-09-24,175
2021-09-25,174
2021-09-26,173
2021-09-27,172
2021-09-28,172
2021-09-29,172
2021-09-30,173
2021-10-01,173
2021-10-02,174
2021-10-03,173
2021-10-04,173
2021-10-05,173
2021-10-06,172
2021-10-07,173
2021-10-08,175
2021-10-09,175
2021-10-10,174
2021-10-11,175
2021-10-12,176
2021-10-13,175
2021-10-14,175
2021-10-15,175
2021-10-16,176
2021-10-17,174
2021-10-18,174
2021-10-19,174
2021-10-20,176
2021-10-21,176
2021-10-22,176
2021-10-23,176
2021-10-24,175
2021-10-25,176
2021-10-26,176
2021-10-27,176
2021-10-28,174
2021-10-29,174
2021-10-30,173
2021-10-31,172
2021-11-01,175
2021-11-02,176
2021-11-03,177
2021-11-04,177
2021-11-05,178
2021-11-06,178
2021-11-07,177
2021-11-08,176
2021-11-09,177
2021-11-10,178
2021-11-11,178
2021-11-12,178
2021-11-13,178
2021-11-14,176
2021-11-15,178
2021-11-16,178
2021-11-17,178
2021-11-18,178
2021-11-19,178
2021-11-20,177
2021-11-21,176
2021-11-22,177
2021-11-23,177
2021-11-24,177
2021-11-25,178
2021-11-26,178
2021-11-27,178
2021-11-28,177
2021-11-29,179
2021-11-30,179
2021-12-01,180
2021-12-02,180
2021-12-03,181
2021-12-04,181
2021-12-05,179
2021-12-06,180
2021-12-07,179
2021-12-08,179
2021-12-09,179
2021-12-10,181
2021-12-11,181
2021-12-12,180
2021-12-13,180
2021-12-14,181
2021-12-15,182
2021-12-16,181
2021-12-17,181
2021-12-18,182
2021-12-19,179
2021-12-20,180
2021-12-21,181
2021-12-22,180
2021-12-23,181
2021-12-24,181
2021-12-25,181
2021-12-26,178
2021-12-27,180
2021-12-28,180
2021-12-29,182
2021-12-30,181
2021-12-31,182
2022-01-01,182
2022-01-02,181
2022-01-03,183
2022-01-04,182
2022-01-05,181
2022-01-06,183
2022-01-07,182
2022-01-08,184
2022-01-09,183
2022-01-10,183
2022-01-11,184
2022-01-12,185
2022-01-13,182
2022-01-14,184
2022-01-15,187
2022-01-16,185
2022-01-17,186
2022-01-18,184
2022-01-19,183
2022-01-20,184
2022-01-21,185
2022-01-22,186
2022-01-23,184
2022-01-24,186
2022-01-25,186
2022-01-26,186
2022-01-27,187
2022-01-28,187
2022-01-29,187
2022-01-30,186
2022-01-31,185
2022-02-01,174
2022-02-02,182
2022-02-03,187
2022-02-04,187
2022-02-05,188
2022-02-06,186
2022-02-07,186
2022-02-08,187
2022-02-09,187
2022-02-10,188
2022-02-11,188
2022-02-12,188
2022-02-13,186
2022-02-14,186
2022-02-15,189
2022-02-16,189
2022-02-17,190
2022-02-18,190
2022-02-19,191
2022-02-20,188
2022-02-21,189
2022-02-22,188
2022-02-23,187
2022-02-24,188
2022-02-25,188
2022-02-26,189
2022-02-27,188
2022-02-28,188
2022-03-01,190
2022-03-02,188
2022-03-03,188
2022-03-04,189
2022-03-05,190
2022-03-06,188
2022-03-07,189
2022-03-08,190
2022-03-09,190
2022-03-10,190
2022-03-11,190
2022-03-12,192
2022-03-13,190
2022-03-14,190
2022-03-15,192
2022-03-16,191
2022-03-17,191
2022-03-18,191
2022-03-19,191
2022-03-20,192
2022-03-21,193
2022-03-22,186
2022-03-23,193
2022-03-24,191
2022-03-25,194
2022-03-26,195
2022-03-27,193
2022-03-28,193
2022-03-29,194
2022-03-30,194
2022-03-31,191
2022-04-01,193
2022-04-02,192
2022-04-03,192
2022-04-04,194
2022-04-05,195
2022-04-06,196
2022-04-07,196
2022-04-08,195
2022-04-09,195
2022-04-10,194
2022-04-11,196
2022-04-12,196
2022-04-13,195
2022-04-14,196
2022-04-15,197
2022-04-16,197
2022-04-17,194
