,shortName,x,y,면적,광역시도,행정구역,폐점,출점,순증
0,강릉,11,4,1040.07,강원도,강릉시,4,5,1
1,고성(강원),9,0,664.19,강원도,고성군,0,4,4
2,동해,11,5,180.01,강원도,동해시,4,2,-2
3,삼척,11,8,1185.8,강원도,삼척시,1,2,1
4,속초,9,1,105.25,강원도,속초시,3,1,-2
5,양구,8,0,700.8,강원도,양구군,0,0,0
6,양양,10,2,628.68,강원도,양양군,1,4,3
7,영월,10,8,1127.36,강원도,영월군,0,1,1
8,원주,10,7,867.3,강원도,원주시,5,8,3
9,인제,9,2,1646.08,강원도,인제군,0,1,1
10,정선,11,6,1220.67,강원도,정선군,0,0,0
11,철원,6,0,899.82,강원도,철원군,0,4,4
12,춘천,10,3,1116.35,강원도,춘천시,2,6,4
13,태백,11,7,303.57,강원도,태백시,0,1,1
14,평창,10,6,1463.65,강원도,평창군,1,1,0
15,홍천,10,4,1817.94,강원도,홍천군,0,1,1
16,화천,7,0,909.45,강원도,화천군,0,0,0
17,횡성,10,5,997.82,강원도,횡성군,0,0,0
18,가평,9,3,843.04,경기도,가평군,3,3,0
19,고양,4,2,267.33,경기도,고양시,14,9,-5
20,과천,7,7,35.813,경기도,과천시,0,1,1
21,광명,3,3,38.5,경기도,광명시,3,2,-1
22,광주,8,7,431.84,경기도,광주시,8,8,0
23,구리,9,4,33.3,경기도,구리시,3,0,-3
24,군포,5,8,36.35,경기도,군포시,4,2,-2
25,김포,2,3,276.64,경기도,김포시,11,5,-6
26,남양주,8,3,458.44,경기도,남양주시,9,11,2
27,동두천,7,2,95.68,경기도,동두천시,2,5,3
28,부천,2,4,53.44,경기도,부천시,16,7,-9
29,성남,7,8,141.82,경기도,성남시,10,6,-4
30,수원,6,9,121.09,경기도,수원시,14,12,-2
31,시흥,3,5,134.4,경기도,시흥시,8,22,14
32,안산,3,6,144.78,경기도,안산시,7,8,1
33,안성,4,8,554.2,경기도,안성시,7,5,-2
34,안양,3,4,58.52,경기도,안양시,3,8,5
35,양주,8,2,310.31,경기도,양주시,2,8,6
36,양평,9,6,877.08,경기도,양평군,1,1,0
37,여주,9,7,608.64,경기도,여주시,3,7,4
38,연천,7,1,695.23,경기도,연천군,0,1,1
39,오산,3,8,42.74,경기도,오산시,2,0,-2
40,용인,7,9,591.5,경기도,용인시,13,9,-4
41,의왕,6,8,54,경기도,의왕시,1,1,0
42,의정부,7,3,81.59,경기도,의정부시,6,7,1
43,이천,8,8,461.02,경기도,이천시,8,8,0
44,파주,3,2,672.56,경기도,파주시,7,8,1
45,평택,5,9,452.31,경기도,평택시,12,12,0
46,포천,8,1,826.38,경기도,포천시,3,5,2
47,하남,9,5,93.1,경기도,하남시,10,3,-7
48,화성,3,7,688.1,경기도,화성시,17,21,4
49,거제,9,20,400.7,경상남도,거제시,2,7,5
50,거창,6,15,804.09,경상남도,거창군,1,0,-1
51,고성(경남),7,19,517.06,경상남도,고성군,0,2,2
52,김해,8,19,463.26,경상남도,김해시,11,8,-3
53,남해,6,19,357,경상남도,남해군,0,1,1
54,밀양,8,16,799.03,경상남도,밀양시,0,1,1
55,사천,6,18,396.3,경상남도,사천시,2,1,-1
56,산청,5,18,794.59,경상남도,산청군,1,0,-1
57,양산,8,17,404.38,경상남도,양산시,4,5,1
58,의령,7,16,482.95,경상남도,의령군,0,0,0
59,진주,6,17,712.62,경상남도,진주시,2,3,1
60,창녕,7,15,533.09,경상남도,창녕군,0,3,3
61,창원,7,18,734.87,경상남도,창원시,13,14,1
62,통영,8,20,236.5,경상남도,통영시,1,0,-1
63,하동,5,19,675.57,경상남도,하동군,0,1,1
64,함안,7,17,417,경상남도,함안군,0,1,1
65,함양,6,16,725.03,경상남도,함양군,0,1,1
66,합천,7,14,983.42,경상남도,합천군,1,1,0
67,경산,11,12,411.58,경상북도,경산시,4,4,0
68,경주,12,12,1323.85,경상북도,경주시,6,5,-1
69,고령,7,13,383.7,경상북도,고령군,0,1,1
70,구미,9,10,616.1,경상북도,구미시,4,3,-1
71,군위,9,11,614.15,경상북도,군위군,0,0,0
72,김천,8,11,1009.56,경상북도,김천시,1,1,0
73,문경,9,8,912,경상북도,문경시,0,2,2
74,봉화,11,9,1201,경상북도,봉화군,0,0,0
75,상주,8,9,1254.82,경상북도,상주시,0,1,1
76,성주,8,12,616.28,경상북도,성주군,0,0,0
77,안동,10,10,1519,경상북도,안동시,0,0,0
78,영덕,12,10,741.05,경상북도,영덕군,0,0,0
79,영양,11,10,815.11,경상북도,영양군,0,0,0
80,영주,10,9,668.45,경상북도,영주시,0,1,1
81,영천,10,12,919.76,경상북도,영천시,1,1,0
82,예천,9,9,660.7,경상북도,예천군,0,0,0
83,울릉,13,6,72.82,경상북도,울릉군,0,0,0
84,울진,12,9,989.06,경상북도,울진군,0,0,0
85,의성,10,11,1175.89,경상북도,의성군,0,0,0
86,청도,8,13,696.52,경상북도,청도군,0,0,0
87,청송,11,11,842.45,경상북도,청송군,0,0,0
88,칠곡,9,12,451,경상북도,칠곡군,1,2,1
89,포항,12,11,1127,경상북도,포항시,1,10,9
90,광주광산,2,19,222.88,광주광역시,광산구,3,3,0
91,광주남구,2,21,61.07,광주광역시,남구,1,2,1
92,광주동구,3,20,48.86,광주광역시,동구,1,6,5
93,광주북구,3,19,121.74,광주광역시,북구,5,5,0
94,광주서구,2,20,46.73,광주광역시,서구,1,4,3
95,대구남구,9,14,17.44,대구광역시,남구,5,0,-5
96,대구달서,8,15,62.3,대구광역시,달서구,10,10,0
97,대구달성,9,15,427.03,대구광역시,달성군,4,4,0
98,대구동구,11,13,182.35,대구광역시,동구,2,6,4
99,대구북구,9,13,95.5,대구광역시,북구,2,3,1
100,대구서구,8,14,17.5,대구광역시,서구,1,3,2
101,대구수성,10,14,76.49,대구광역시,수성구,4,3,-1
102,대구중구,10,13,7.08,대구광역시,중구,1,0,-1
103,대전대덕,5,12,68.45,대전광역시,대덕구,0,1,1
104,대전동구,5,13,136.8,대전광역시,동구,2,2,0
105,대전서구,4,14,95.25,대전광역시,서구,10,7,-3
106,대전유성,4,13,177.16,대전광역시,유성구,2,12,10
107,대전중구,5,14,61.98,대전광역시,중구,1,3,2
108,부산강서,8,18,179.05,부산광역시,강서구,3,1,-2
109,부산금정,10,15,65.19,부산광역시,금정구,4,1,-3
110,부산기장,12,16,217.9,부산광역시,기장군,3,6,3
111,부산남구,11,19,25.91,부산광역시,남구,0,5,5
112,부산동구,10,17,9.77,부산광역시,동구,1,1,0
113,부산동래,11,16,16.6,부산광역시,동래구,1,4,3
114,부산부산진,10,16,29.7,부산광역시,부산진구,2,7,5
115,부산북구,9,16,38.3,부산광역시,북구,3,2,-1
116,부산사상,9,17,35.8,부산광역시,사상구,0,4,4
117,부산사하,9,19,40.89,부산광역시,사하구,4,3,-1
118,부산서구,9,18,13.67,부산광역시,서구,2,4,2
119,부산수영,11,18,10.16,부산광역시,수영구,3,2,-1
120,부산연제,11,17,12.08,부산광역시,연제구,1,2,1
121,부산영도,10,19,13.98,부산광역시,영도구,0,0,0
122,부산중구,10,18,2.8,부산광역시,중구,2,0,-2
123,부산해운대,12,17,51.44,부산광역시,해운대구,2,8,6
124,서울강남,6,7,39.5,서울특별시,강남구,7,4,-3
125,서울강동,8,5,24.6,서울특별시,강동구,2,3,1
126,서울강북,5,2,23.6,서울특별시,강북구,2,1,-1
127,서울강서,4,4,41.4,서울특별시,강서구,5,3,-2
128,서울관악,5,6,29.6,서울특별시,관악구,6,0,-6
129,서울광진,7,6,17.05,서울특별시,광진구,2,2,0
130,서울구로,4,7,20.11,서울특별시,구로구,1,2,1
131,서울금천,5,7,13.01,서울특별시,금천구,3,3,0
132,서울노원,6,1,35.44,서울특별시,노원구,2,3,1
133,서울도봉,5,1,20.8,서울특별시,도봉구,3,2,-1
134,서울동대문,7,4,14.2,서울특별시,동대문구,1,4,3
135,서울동작,5,5,16.36,서울특별시,동작구,3,4,1
136,서울마포,5,4,23.87,서울특별시,마포구,4,7,3
137,서울서대문,5,3,17.6,서울특별시,서대문구,4,16,12
138,서울서초,6,6,47.04,서울특별시,서초구,9,6,-3
139,서울성동,7,5,16.85,서울특별시,성동구,4,5,1
140,서울성북,6,2,24.57,서울특별시,성북구,6,10,4
141,서울송파,8,6,33.9,서울특별시,송파구,5,9,4
